stoxxId,name,owner,totalPatents,technologyName,technologyCode,totalPatentsInTechnology,worldClassPatentsInTechnology,specialisation,environment,environmentWorldClass
BRCM,EconsightMetaverse,,15588,GPU Graphic Processor Technology,IC5.3.17.,90,7,0.0058,258,36
BRCM,EconsightMetaverse,,15588,"VR & AR, XR, Meta",IC5.2.10.,69,9,0.0044,258,36
US14E5,EconsightMetaverse,,230,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0087,4,0
US14E5,EconsightMetaverse,,230,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.0087,4,0
KR002D,EconsightMetaverse,,125802,GPU Graphic Processor Technology,IC5.3.17.,2108,274,0.0168,5801,1147
KR002D,EconsightMetaverse,,125802,3D Image Modelling,IC5.3.1.,1774,519,0.0141,5801,1147
KR002D,EconsightMetaverse,,125802,Avatar,IC5.2.1.,371,87,0.0029,5801,1147
KR002D,EconsightMetaverse,,125802,Blockchain,7S.1.2.,106,50,0.0008,5801,1147
KR002D,EconsightMetaverse,,125802,Digital Twin,IC5.3.14.,11,4,0.0001,5801,1147
KR002D,EconsightMetaverse,,125802,"NFT, Non-fungible Token",IC5.3.18.,12,7,0.0001,5801,1147
KR002D,EconsightMetaverse,,125802,"VR & AR, XR, Meta",IC5.2.10.,2695,664,0.0214,5801,1147
96970,EconsightMetaverse,,38,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0526,2,0
625102,EconsightMetaverse,,4075,Blockchain,7S.1.2.,4,0,0.001,14,3
625102,EconsightMetaverse,,4075,3D Image Modelling,IC5.3.1.,3,1,0.0007,14,3
625102,EconsightMetaverse,,4075,Avatar,IC5.2.1.,1,1,0.0002,14,3
625102,EconsightMetaverse,,4075,GPU Graphic Processor Technology,IC5.3.17.,4,1,0.001,14,3
625102,EconsightMetaverse,,4075,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0005,14,3
US10RE,EconsightMetaverse,,19,Blockchain,7S.1.2.,1,0,0.0526,3,0
US10RE,EconsightMetaverse,,19,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.1053,3,0
666184,EconsightMetaverse,,1960,3D Image Modelling,IC5.3.1.,5,0,0.0026,15,0
666184,EconsightMetaverse,,1960,"VR & AR, XR, Meta",IC5.2.10.,14,0,0.0071,15,0
SNPS,EconsightMetaverse,,2117,Blockchain,7S.1.2.,1,0,0.0005,32,4
SNPS,EconsightMetaverse,,2117,GPU Graphic Processor Technology,IC5.3.17.,14,0,0.0066,32,4
SNPS,EconsightMetaverse,,2117,3D Image Modelling,IC5.3.1.,6,1,0.0028,32,4
SNPS,EconsightMetaverse,,2117,Avatar,IC5.2.1.,6,1,0.0028,32,4
SNPS,EconsightMetaverse,,2117,Digital Twin,IC5.3.14.,1,1,0.0005,32,4
SNPS,EconsightMetaverse,,2117,"VR & AR, XR, Meta",IC5.2.10.,7,2,0.0033,32,4
HUM,EconsightMetaverse,,79,Blockchain,7S.1.2.,1,0,0.0127,4,0
HUM,EconsightMetaverse,,79,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0127,4,0
HUM,EconsightMetaverse,,79,Avatar,IC5.2.1.,2,0,0.0253,4,0
DE13NI,EconsightMetaverse,,72,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0139,4,1
DE13NI,EconsightMetaverse,,72,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0139,4,1
DE13NI,EconsightMetaverse,,72,Blockchain,7S.1.2.,2,1,0.0278,4,1
OII,EconsightMetaverse,,124,3D Image Modelling,IC5.3.1.,1,0,0.0081,2,0
OII,EconsightMetaverse,,124,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0081,2,0
GD,EconsightMetaverse,,441,3D Image Modelling,IC5.3.1.,6,1,0.0136,12,2
GD,EconsightMetaverse,,441,Avatar,IC5.2.1.,1,0,0.0023,12,2
GD,EconsightMetaverse,,441,GPU Graphic Processor Technology,IC5.3.17.,3,1,0.0068,12,2
GD,EconsightMetaverse,,441,"VR & AR, XR, Meta",IC5.2.10.,4,0,0.0091,12,2
GD,EconsightMetaverse,,441,Blockchain,7S.1.2.,2,0,0.0045,12,2
XON,EconsightMetaverse,,4615,Blockchain,7S.1.2.,1,1,0.0002,36,7
XON,EconsightMetaverse,,4615,3D Image Modelling,IC5.3.1.,27,4,0.0059,36,7
XON,EconsightMetaverse,,4615,Avatar,IC5.2.1.,2,1,0.0004,36,7
XON,EconsightMetaverse,,4615,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0002,36,7
XON,EconsightMetaverse,,4615,"VR & AR, XR, Meta",IC5.2.10.,3,0,0.0007,36,7
XON,EconsightMetaverse,,4615,Digital Twin,IC5.3.14.,2,1,0.0004,36,7
US20SG,EconsightMetaverse,,2061,Avatar,IC5.2.1.,1,0,0.0005,2,0
US20SG,EconsightMetaverse,,2061,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0005,2,0
US20SG,EconsightMetaverse,,2061,3D Image Modelling,IC5.3.1.,1,0,0.0005,2,0
689450,EconsightMetaverse,,681,3D Image Modelling,IC5.3.1.,4,0,0.0059,4,0
US9MCT,EconsightMetaverse,,521,3D Image Modelling,IC5.3.1.,1,0,0.0019,5,3
US9MCT,EconsightMetaverse,,521,Avatar,IC5.2.1.,2,1,0.0038,5,3
US9MCT,EconsightMetaverse,,521,"VR & AR, XR, Meta",IC5.2.10.,4,2,0.0077,5,3
US9MCT,EconsightMetaverse,,521,Blockchain,7S.1.2.,1,1,0.0019,5,3
US9MCT,EconsightMetaverse,,521,"NFT, Non-fungible Token",IC5.3.18.,1,1,0.0019,5,3
622959,EconsightMetaverse,,2794,Blockchain,7S.1.2.,9,0,0.0032,78,8
622959,EconsightMetaverse,,2794,Digital Twin,IC5.3.14.,1,0,0.0004,78,8
622959,EconsightMetaverse,,2794,"NFT, Non-fungible Token",IC5.3.18.,3,0,0.0011,78,8
622959,EconsightMetaverse,,2794,3D Image Modelling,IC5.3.1.,33,5,0.0118,78,8
622959,EconsightMetaverse,,2794,Avatar,IC5.2.1.,10,1,0.0036,78,8
622959,EconsightMetaverse,,2794,GPU Graphic Processor Technology,IC5.3.17.,7,2,0.0025,78,8
622959,EconsightMetaverse,,2794,"VR & AR, XR, Meta",IC5.2.10.,35,1,0.0125,78,8
605520,EconsightMetaverse,,5658,Blockchain,7S.1.2.,1,0,0.0002,24,6
605520,EconsightMetaverse,,5658,Digital Twin,IC5.3.14.,2,2,0.0004,24,6
605520,EconsightMetaverse,,5658,3D Image Modelling,IC5.3.1.,6,3,0.0011,24,6
605520,EconsightMetaverse,,5658,Avatar,IC5.2.1.,1,1,0.0002,24,6
605520,EconsightMetaverse,,5658,"VR & AR, XR, Meta",IC5.2.10.,17,2,0.003,24,6
625024,EconsightMetaverse,,312,Blockchain,7S.1.2.,12,0,0.0385,19,0
625024,EconsightMetaverse,,312,3D Image Modelling,IC5.3.1.,2,0,0.0064,19,0
625024,EconsightMetaverse,,312,Avatar,IC5.2.1.,1,0,0.0032,19,0
625024,EconsightMetaverse,,312,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0032,19,0
625024,EconsightMetaverse,,312,"VR & AR, XR, Meta",IC5.2.10.,4,0,0.0128,19,0
698642,EconsightMetaverse,,2784,3D Image Modelling,IC5.3.1.,3,0,0.0011,29,4
698642,EconsightMetaverse,,2784,Avatar,IC5.2.1.,5,1,0.0018,29,4
698642,EconsightMetaverse,,2784,"VR & AR, XR, Meta",IC5.2.10.,10,0,0.0036,29,4
698642,EconsightMetaverse,,2784,Blockchain,7S.1.2.,7,2,0.0025,29,4
698642,EconsightMetaverse,,2784,Digital Twin,IC5.3.14.,5,1,0.0018,29,4
US04ZP,EconsightMetaverse,,133,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.015,2,0
US9IFS,EconsightMetaverse,,34,3D Image Modelling,IC5.3.1.,1,0,0.0294,1,0
US9IFS,EconsightMetaverse,,34,Avatar,IC5.2.1.,1,0,0.0294,1,0
DE1495,EconsightMetaverse,,5282,Blockchain,7S.1.2.,2,1,0.0004,9,1
DE1495,EconsightMetaverse,,5282,3D Image Modelling,IC5.3.1.,3,0,0.0006,9,1
DE1495,EconsightMetaverse,,5282,GPU Graphic Processor Technology,IC5.3.17.,3,0,0.0006,9,1
DE1495,EconsightMetaverse,,5282,"VR & AR, XR, Meta",IC5.2.10.,4,0,0.0008,9,1
FULL,EconsightMetaverse,,373,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0027,1,0
71921,EconsightMetaverse,,999,Blockchain,7S.1.2.,6,0,0.006,11,0
71921,EconsightMetaverse,,999,Digital Twin,IC5.3.14.,6,0,0.006,11,0
71921,EconsightMetaverse,,999,3D Image Modelling,IC5.3.1.,2,0,0.002,11,0
71921,EconsightMetaverse,,999,"VR & AR, XR, Meta",IC5.2.10.,4,0,0.004,11,0
US30LA,EconsightMetaverse,,661,Avatar,IC5.2.1.,12,8,0.0182,72,33
US30LA,EconsightMetaverse,,661,Blockchain,7S.1.2.,9,6,0.0136,72,33
US30LA,EconsightMetaverse,,661,"VR & AR, XR, Meta",IC5.2.10.,56,25,0.0847,72,33
US30LA,EconsightMetaverse,,661,3D Image Modelling,IC5.3.1.,35,22,0.053,72,33
646710,EconsightMetaverse,,4274,3D Image Modelling,IC5.3.1.,3,0,0.0007,8,0
646710,EconsightMetaverse,,4274,Avatar,IC5.2.1.,2,0,0.0005,8,0
646710,EconsightMetaverse,,4274,Blockchain,7S.1.2.,3,0,0.0007,8,0
APD,EconsightMetaverse,,899,3D Image Modelling,IC5.3.1.,1,0,0.0011,2,1
APD,EconsightMetaverse,,899,Digital Twin,IC5.3.14.,1,1,0.0011,2,1
449148,EconsightMetaverse,,1536,3D Image Modelling,IC5.3.1.,1,1,0.0007,2,1
449148,EconsightMetaverse,,1536,"VR & AR, XR, Meta",IC5.2.10.,2,1,0.0013,2,1
IN00AF,EconsightMetaverse,,63,Blockchain,7S.1.2.,1,0,0.0159,1,0
686550,EconsightMetaverse,,5595,3D Image Modelling,IC5.3.1.,5,0,0.0009,8,0
686550,EconsightMetaverse,,5595,"VR & AR, XR, Meta",IC5.2.10.,5,0,0.0009,8,0
686550,EconsightMetaverse,,5595,Blockchain,7S.1.2.,1,0,0.0002,8,0
TW03F7,EconsightMetaverse,,5241,3D Image Modelling,IC5.3.1.,17,1,0.0032,41,1
TW03F7,EconsightMetaverse,,5241,GPU Graphic Processor Technology,IC5.3.17.,13,0,0.0025,41,1
TW03F7,EconsightMetaverse,,5241,"VR & AR, XR, Meta",IC5.2.10.,14,0,0.0027,41,1
IN006B,EconsightMetaverse,,457,3D Image Modelling,IC5.3.1.,3,0,0.0066,9,1
IN006B,EconsightMetaverse,,457,Avatar,IC5.2.1.,1,0,0.0022,9,1
IN006B,EconsightMetaverse,,457,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0022,9,1
IN006B,EconsightMetaverse,,457,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0044,9,1
IN006B,EconsightMetaverse,,457,Blockchain,7S.1.2.,2,1,0.0044,9,1
IN006B,EconsightMetaverse,,457,Digital Twin,IC5.3.14.,1,0,0.0022,9,1
TW07SO,EconsightMetaverse,,1042,3D Image Modelling,IC5.3.1.,3,0,0.0029,5,0
TW07SO,EconsightMetaverse,,1042,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0019,5,0
73087,EconsightMetaverse,,220,Blockchain,7S.1.2.,1,1,0.0045,12,1
73087,EconsightMetaverse,,220,3D Image Modelling,IC5.3.1.,8,0,0.0364,12,1
73087,EconsightMetaverse,,220,"VR & AR, XR, Meta",IC5.2.10.,11,0,0.05,12,1
ROP,EconsightMetaverse,,237,Digital Twin,IC5.3.14.,2,0,0.0084,19,2
ROP,EconsightMetaverse,,237,3D Image Modelling,IC5.3.1.,3,1,0.0127,19,2
ROP,EconsightMetaverse,,237,"VR & AR, XR, Meta",IC5.2.10.,17,2,0.0717,19,2
US50OF,EconsightMetaverse,,471,3D Image Modelling,IC5.3.1.,5,1,0.0106,18,1
US50OF,EconsightMetaverse,,471,Avatar,IC5.2.1.,3,0,0.0064,18,1
US50OF,EconsightMetaverse,,471,GPU Graphic Processor Technology,IC5.3.17.,5,0,0.0106,18,1
US50OF,EconsightMetaverse,,471,"VR & AR, XR, Meta",IC5.2.10.,9,1,0.0191,18,1
CN24Y3,EconsightMetaverse,,40374,Avatar,IC5.2.1.,18,0,0.0004,1027,126
CN24Y3,EconsightMetaverse,,40374,Blockchain,7S.1.2.,41,16,0.001,1027,126
CN24Y3,EconsightMetaverse,,40374,Digital Twin,IC5.3.14.,19,8,0.0005,1027,126
CN24Y3,EconsightMetaverse,,40374,3D Image Modelling,IC5.3.1.,184,37,0.0046,1027,126
CN24Y3,EconsightMetaverse,,40374,GPU Graphic Processor Technology,IC5.3.17.,40,9,0.001,1027,126
CN24Y3,EconsightMetaverse,,40374,"VR & AR, XR, Meta",IC5.2.10.,867,90,0.0215,1027,126
316383,EconsightMetaverse,,71,3D Image Modelling,IC5.3.1.,2,0,0.0282,2,0
316383,EconsightMetaverse,,71,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0141,2,0
US00YK,EconsightMetaverse,,88,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.0227,2,0
JP1WFK,EconsightMetaverse,,45,3D Image Modelling,IC5.3.1.,3,0,0.0667,3,0
DE004V,EconsightMetaverse,,6205,Blockchain,7S.1.2.,20,3,0.0032,76,9
DE004V,EconsightMetaverse,,6205,Avatar,IC5.2.1.,2,0,0.0003,76,9
DE004V,EconsightMetaverse,,6205,Digital Twin,IC5.3.14.,40,3,0.0064,76,9
DE004V,EconsightMetaverse,,6205,3D Image Modelling,IC5.3.1.,14,3,0.0023,76,9
DE004V,EconsightMetaverse,,6205,"VR & AR, XR, Meta",IC5.2.10.,9,0,0.0015,76,9
KY10SB,EconsightMetaverse,,9929,3D Image Modelling,IC5.3.1.,1362,47,0.1372,2147,77
KY10SB,EconsightMetaverse,,9929,Avatar,IC5.2.1.,280,15,0.0282,2147,77
KY10SB,EconsightMetaverse,,9929,Blockchain,7S.1.2.,211,10,0.0213,2147,77
KY10SB,EconsightMetaverse,,9929,"NFT, Non-fungible Token",IC5.3.18.,17,0,0.0017,2147,77
KY10SB,EconsightMetaverse,,9929,"VR & AR, XR, Meta",IC5.2.10.,518,20,0.0522,2147,77
KY10SB,EconsightMetaverse,,9929,GPU Graphic Processor Technology,IC5.3.17.,49,1,0.0049,2147,77
KY10SB,EconsightMetaverse,,9929,Digital Twin,IC5.3.14.,2,0,0.0002,2147,77
KR02N0,EconsightMetaverse,,2066,3D Image Modelling,IC5.3.1.,1,0,0.0005,4,0
KR02N0,EconsightMetaverse,,2066,Avatar,IC5.2.1.,1,0,0.0005,4,0
KR02N0,EconsightMetaverse,,2066,"VR & AR, XR, Meta",IC5.2.10.,3,0,0.0015,4,0
665778,EconsightMetaverse,,588,3D Image Modelling,IC5.3.1.,1,0,0.0017,1,0
US9K3I,EconsightMetaverse,,21,Avatar,IC5.2.1.,1,0,0.0476,1,0
690670,EconsightMetaverse,,995,Blockchain,7S.1.2.,2,1,0.002,2,1
US92LI,EconsightMetaverse,,413,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0024,1,0
617232,EconsightMetaverse,,71871,Blockchain,7S.1.2.,20,1,0.0003,1424,122
617232,EconsightMetaverse,,71871,Digital Twin,IC5.3.14.,3,0,0,1424,122
617232,EconsightMetaverse,,71871,"NFT, Non-fungible Token",IC5.3.18.,1,0,0,1424,122
617232,EconsightMetaverse,,71871,3D Image Modelling,IC5.3.1.,984,94,0.0137,1424,122
617232,EconsightMetaverse,,71871,Avatar,IC5.2.1.,35,6,0.0005,1424,122
617232,EconsightMetaverse,,71871,GPU Graphic Processor Technology,IC5.3.17.,63,2,0.0009,1424,122
617232,EconsightMetaverse,,71871,"VR & AR, XR, Meta",IC5.2.10.,750,74,0.0104,1424,122
71887,EconsightMetaverse,,291,Digital Twin,IC5.3.14.,1,0,0.0034,10,2
71887,EconsightMetaverse,,291,3D Image Modelling,IC5.3.1.,7,2,0.0241,10,2
71887,EconsightMetaverse,,291,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0069,10,2
KR06O5,EconsightMetaverse,,3158,3D Image Modelling,IC5.3.1.,4,1,0.0013,5,1
KR06O5,EconsightMetaverse,,3158,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0006,5,1
JP503G,EconsightMetaverse,,276,Avatar,IC5.2.1.,1,0,0.0036,2,0
JP503G,EconsightMetaverse,,276,Blockchain,7S.1.2.,1,0,0.0036,2,0
EW,EconsightMetaverse,,1339,"VR & AR, XR, Meta",IC5.2.10.,2,1,0.0015,2,1
US08TN,EconsightMetaverse,,127,3D Image Modelling,IC5.3.1.,76,6,0.5984,84,6
US08TN,EconsightMetaverse,,127,Avatar,IC5.2.1.,8,0,0.063,84,6
US08TN,EconsightMetaverse,,127,GPU Graphic Processor Technology,IC5.3.17.,5,0,0.0394,84,6
US08TN,EconsightMetaverse,,127,"VR & AR, XR, Meta",IC5.2.10.,20,1,0.1575,84,6
DE80DC,EconsightMetaverse,,2930,Blockchain,7S.1.2.,1,0,0.0003,4,1
DE80DC,EconsightMetaverse,,2930,3D Image Modelling,IC5.3.1.,2,1,0.0007,4,1
DE80DC,EconsightMetaverse,,2930,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0003,4,1
CSL,EconsightMetaverse,,277,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0072,2,0
STRY,EconsightMetaverse,,3846,Blockchain,7S.1.2.,1,0,0.0003,135,36
STRY,EconsightMetaverse,,3846,Digital Twin,IC5.3.14.,2,1,0.0005,135,36
STRY,EconsightMetaverse,,3846,3D Image Modelling,IC5.3.1.,34,9,0.0088,135,36
STRY,EconsightMetaverse,,3846,Avatar,IC5.2.1.,19,13,0.0049,135,36
STRY,EconsightMetaverse,,3846,GPU Graphic Processor Technology,IC5.3.17.,8,3,0.0021,135,36
STRY,EconsightMetaverse,,3846,"VR & AR, XR, Meta",IC5.2.10.,114,27,0.0296,135,36
US9487,EconsightMetaverse,,7438,GPU Graphic Processor Technology,IC5.3.17.,6,1,0.0008,12,5
US9487,EconsightMetaverse,,7438,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0001,12,5
US9487,EconsightMetaverse,,7438,Blockchain,7S.1.2.,5,4,0.0007,12,5
UNPH,EconsightMetaverse,,895,3D Image Modelling,IC5.3.1.,1,0,0.0011,5,1
UNPH,EconsightMetaverse,,895,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0011,5,1
UNPH,EconsightMetaverse,,895,"VR & AR, XR, Meta",IC5.2.10.,4,1,0.0045,5,1
CH8034,EconsightMetaverse,,210,"VR & AR, XR, Meta",IC5.2.10.,1,1,0.0048,1,1
MTD,EconsightMetaverse,,636,3D Image Modelling,IC5.3.1.,1,0,0.0016,4,3
MTD,EconsightMetaverse,,636,Blockchain,7S.1.2.,3,3,0.0047,4,3
PCLN,EconsightMetaverse,,42,Blockchain,7S.1.2.,1,0,0.0238,1,0
TOC,EconsightMetaverse,,214,Blockchain,7S.1.2.,5,2,0.0234,5,2
533458,EconsightMetaverse,,1511,3D Image Modelling,IC5.3.1.,2,0,0.0013,6,0
533458,EconsightMetaverse,,1511,Avatar,IC5.2.1.,2,0,0.0013,6,0
533458,EconsightMetaverse,,1511,"VR & AR, XR, Meta",IC5.2.10.,5,0,0.0033,6,0
492752,EconsightMetaverse,,243,3D Image Modelling,IC5.3.1.,1,0,0.0041,25,13
492752,EconsightMetaverse,,243,Blockchain,7S.1.2.,24,13,0.0988,25,13
492752,EconsightMetaverse,,243,Digital Twin,IC5.3.14.,2,0,0.0082,25,13
492752,EconsightMetaverse,,243,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0041,25,13
618355,EconsightMetaverse,,1416,3D Image Modelling,IC5.3.1.,1,0,0.0007,1,0
SE50GR,EconsightMetaverse,,260,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0038,1,0
MWA,EconsightMetaverse,,280,3D Image Modelling,IC5.3.1.,1,0,0.0036,1,0
U0105,EconsightMetaverse,,21,Blockchain,7S.1.2.,2,0,0.0952,4,0
U0105,EconsightMetaverse,,21,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0952,4,0
665640,EconsightMetaverse,,2436,3D Image Modelling,IC5.3.1.,21,3,0.0086,23,3
665640,EconsightMetaverse,,2436,"VR & AR, XR, Meta",IC5.2.10.,10,2,0.0041,23,3
665640,EconsightMetaverse,,2436,Digital Twin,IC5.3.14.,1,0,0.0004,23,3
US70YR,EconsightMetaverse,,592,3D Image Modelling,IC5.3.1.,2,2,0.0034,88,28
US70YR,EconsightMetaverse,,592,GPU Graphic Processor Technology,IC5.3.17.,6,0,0.0101,88,28
US70YR,EconsightMetaverse,,592,Avatar,IC5.2.1.,7,3,0.0118,88,28
US70YR,EconsightMetaverse,,592,"VR & AR, XR, Meta",IC5.2.10.,25,4,0.0422,88,28
US70YR,EconsightMetaverse,,592,Blockchain,7S.1.2.,53,22,0.0895,88,28
US70YR,EconsightMetaverse,,592,Digital Twin,IC5.3.14.,1,0,0.0017,88,28
US70YR,EconsightMetaverse,,592,"NFT, Non-fungible Token",IC5.3.18.,17,9,0.0287,88,28
US9LHX,EconsightMetaverse,,330,3D Image Modelling,IC5.3.1.,9,0,0.0273,60,0
US9LHX,EconsightMetaverse,,330,Avatar,IC5.2.1.,33,0,0.1,60,0
US9LHX,EconsightMetaverse,,330,Blockchain,7S.1.2.,1,0,0.003,60,0
US9LHX,EconsightMetaverse,,330,"VR & AR, XR, Meta",IC5.2.10.,37,0,0.1121,60,0
513962,EconsightMetaverse,,227,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0044,1,0
KR01BN,EconsightMetaverse,,1053,3D Image Modelling,IC5.3.1.,7,1,0.0066,7,1
KR01BN,EconsightMetaverse,,1053,"VR & AR, XR, Meta",IC5.2.10.,3,0,0.0028,7,1
LLY,EconsightMetaverse,,848,Blockchain,7S.1.2.,1,1,0.0012,4,2
LLY,EconsightMetaverse,,848,Avatar,IC5.2.1.,1,1,0.0012,4,2
LLY,EconsightMetaverse,,848,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0024,4,2
NKE,EconsightMetaverse,,2701,3D Image Modelling,IC5.3.1.,22,13,0.0081,73,45
NKE,EconsightMetaverse,,2701,Avatar,IC5.2.1.,37,25,0.0137,73,45
NKE,EconsightMetaverse,,2701,"NFT, Non-fungible Token",IC5.3.18.,8,8,0.003,73,45
NKE,EconsightMetaverse,,2701,"VR & AR, XR, Meta",IC5.2.10.,31,17,0.0115,73,45
NKE,EconsightMetaverse,,2701,Blockchain,7S.1.2.,10,8,0.0037,73,45
NKE,EconsightMetaverse,,2701,Digital Twin,IC5.3.14.,2,2,0.0007,73,45
IN02LS,EconsightMetaverse,,55125,Avatar,IC5.2.1.,71,9,0.0013,598,39
IN02LS,EconsightMetaverse,,55125,Blockchain,7S.1.2.,102,2,0.0019,598,39
IN02LS,EconsightMetaverse,,55125,Digital Twin,IC5.3.14.,118,5,0.0021,598,39
IN02LS,EconsightMetaverse,,55125,"NFT, Non-fungible Token",IC5.3.18.,1,0,0,598,39
IN02LS,EconsightMetaverse,,55125,3D Image Modelling,IC5.3.1.,141,21,0.0026,598,39
IN02LS,EconsightMetaverse,,55125,GPU Graphic Processor Technology,IC5.3.17.,24,2,0.0004,598,39
IN02LS,EconsightMetaverse,,55125,"VR & AR, XR, Meta",IC5.2.10.,227,17,0.0041,598,39
US30G5,EconsightMetaverse,,334,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.003,71,10
US30G5,EconsightMetaverse,,334,3D Image Modelling,IC5.3.1.,49,10,0.1467,71,10
US30G5,EconsightMetaverse,,334,Avatar,IC5.2.1.,2,2,0.006,71,10
US30G5,EconsightMetaverse,,334,Blockchain,7S.1.2.,1,0,0.003,71,10
US30G5,EconsightMetaverse,,334,Digital Twin,IC5.3.14.,6,1,0.018,71,10
US30G5,EconsightMetaverse,,334,"VR & AR, XR, Meta",IC5.2.10.,36,5,0.1078,71,10
IN00GL,EconsightMetaverse,,872,3D Image Modelling,IC5.3.1.,25,3,0.0287,63,5
IN00GL,EconsightMetaverse,,872,"VR & AR, XR, Meta",IC5.2.10.,32,3,0.0367,63,5
IN00GL,EconsightMetaverse,,872,Blockchain,7S.1.2.,11,2,0.0126,63,5
IN00GL,EconsightMetaverse,,872,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0011,63,5
IN00GL,EconsightMetaverse,,872,Avatar,IC5.2.1.,17,0,0.0195,63,5
IN00GL,EconsightMetaverse,,872,Digital Twin,IC5.3.14.,3,0,0.0034,63,5
664266,EconsightMetaverse,,2518,"VR & AR, XR, Meta",IC5.2.10.,11,2,0.0044,11,2
665768,EconsightMetaverse,,6616,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0002,40,0
665768,EconsightMetaverse,,6616,3D Image Modelling,IC5.3.1.,9,0,0.0014,40,0
665768,EconsightMetaverse,,6616,Avatar,IC5.2.1.,5,0,0.0008,40,0
665768,EconsightMetaverse,,6616,Blockchain,7S.1.2.,8,0,0.0012,40,0
