,technologydetails@EconsightEnergyPatent
10,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0088'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0029'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0029'}]"
11,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '2'specialisation': '0.0012'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0006'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0012'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0012'}]"
12,
13,
14,
15,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0037'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0037'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0037'}]"
16,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '3'specialisation': '0.0071'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0018'}]"
17,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0027'}]"
18,"[ {'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0008'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '68','worldClassPatentsInTechnology': '9'specialisation': '0.0538'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '42','worldClassPatentsInTechnology': '7'specialisation': '0.0332'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '20','worldClassPatentsInTechnology': '2'specialisation': '0.0158'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '30','worldClassPatentsInTechnology': '2'specialisation': '0.0237'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '1'specialisation': '0.0047'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0016'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0016'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0008'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '82','worldClassPatentsInTechnology': '11'specialisation': '0.0648'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0016'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.0047'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '12','worldClassPatentsInTechnology': ''specialisation': '0.0095'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '24','worldClassPatentsInTechnology': '6'specialisation': '0.019'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '115','worldClassPatentsInTechnology': '16'specialisation': '0.0909'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '36','worldClassPatentsInTechnology': '2'specialisation': '0.0285'}]"
19,
20,
21,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0021'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0021'}]"
22,
23,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '5'specialisation': '0.0022'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '94','worldClassPatentsInTechnology': '14'specialisation': '0.0156'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '2'specialisation': '0.0012'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '38','worldClassPatentsInTechnology': '8'specialisation': '0.0063'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '1'specialisation': '0.0017'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '23','worldClassPatentsInTechnology': '6'specialisation': '0.0038'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '64','worldClassPatentsInTechnology': '12'specialisation': '0.0106'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.001'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '59','worldClassPatentsInTechnology': '7'specialisation': '0.0098'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '35','worldClassPatentsInTechnology': '5'specialisation': '0.0058'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '14','worldClassPatentsInTechnology': ''specialisation': '0.0023'}]"
24,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0278'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0556'}]"
25,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0612'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.102'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0408'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0204'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0612'}]"
26,"[ {'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0769'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0769'}]"
27,
28,
29,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0007'}]"
30,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0031'}]"
31,"[ {'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0085'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0085'}]"
32,
33,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0119'}]"
34,
35,"[ {'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0004'}]"
36,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.004'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0119'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.004'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0119'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0119'}]"
37,
38,
39,"[ {'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '2'specialisation': '0.0013'}]"
40,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0021'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0011'}]"
41,
42,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '63','worldClassPatentsInTechnology': '15'specialisation': '0.0809'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '3'specialisation': '0.0103'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0013'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '19','worldClassPatentsInTechnology': '14'specialisation': '0.0244'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0039'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '4'specialisation': '0.0167'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '3'specialisation': '0.0064'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '3'specialisation': '0.0039'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '7'specialisation': '0.0128'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0013'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '30','worldClassPatentsInTechnology': '13'specialisation': '0.0385'}]"
43,
44,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '1'specialisation': '0.0022'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '1'specialisation': '0.004'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.0018'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': ''specialisation': '0.0036'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '3'specialisation': '0.0027'}]"
45,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '247','worldClassPatentsInTechnology': '23'specialisation': '0.0779'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '110','worldClassPatentsInTechnology': '13'specialisation': '0.0347'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '1'specialisation': '0.0028'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0003'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '1'specialisation': '0.0019'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '50','worldClassPatentsInTechnology': '7'specialisation': '0.0158'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0006'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '32','worldClassPatentsInTechnology': '2'specialisation': '0.0101'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0016'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': ''specialisation': '0.0041'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '39','worldClassPatentsInTechnology': '3'specialisation': '0.0123'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '85','worldClassPatentsInTechnology': '17'specialisation': '0.0268'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '604','worldClassPatentsInTechnology': '81'specialisation': '0.1904'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '202','worldClassPatentsInTechnology': '24'specialisation': '0.0637'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '243','worldClassPatentsInTechnology': '35'specialisation': '0.0766'}]"
46,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.002'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.004'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.004'}]"
